registered,registration_target,decision,reason,title,primary_artist,album,album_artist,genre,duration_sec,file_path_linux,file_path_windows,file_ext,file_size_bytes
1,0,include,tagged vocal/music candidate,プロローグ,hana,MELLOW MUSIC BEST 2020-2024,,Soundtrack,254,/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-15 プロローグ.m4a,D:\yu28s\Music\Compilations\MELLOW MUSIC BEST 2020-2024\1-15 プロローグ.m4a,.m4a,8219634
1,0,include,tagged vocal/music candidate,ヒロイン,夢乃ゆき,MELLOW MUSIC BEST 2020-2024,,Soundtrack,304,/mnt/d/yu28s/Music/Compilations/MELLOW MUSIC BEST 2020-2024/1-16 ヒロイン.m4a,D:\yu28s\Music\Compilations\MELLOW MUSIC BEST 2020-2024\1-16 ヒロイン.m4a,.m4a,9891024
1,0,include,tagged vocal/music candidate,First Love,MME,MME BEST 1,MME,アニメ,254,/mnt/d/yu28s/Music/Compilations/MME BEST 1/06 First Love.m4a,D:\yu28s\Music\Compilations\MME BEST 1\06 First Love.m4a,.m4a,9021964
1,0,include,tagged vocal/music candidate,sing,MME,MME BEST 1,MME,アニメ,232,/mnt/d/yu28s/Music/Compilations/MME BEST 1/09 sing.m4a,D:\yu28s\Music\Compilations\MME BEST 1\09 sing.m4a,.m4a,8984514
1,0,include,tagged vocal/music candidate,Path to glory (PCゲーム まどそふと「セレクトオブリージュ」オープニングテーマ),Faylan,セレクトオブリージュ ボーカルアルバム,,Pop,263,/mnt/d/yu28s/Music/Compilations/セレクトオブリージュ ボーカルアルバム/01 Path to glory (PCゲーム まどそふと「セレクトオブ.m4a,D:\yu28s\Music\Compilations\セレクトオブリージュ ボーカルアルバム\01 Path to glory (PCゲーム まどそふと「セレクトオブ.m4a,.m4a,8715500
1,0,include,tagged vocal/music candidate,Genuine world (PCゲーム まどそふと「セレクトオブリージュ」一色奏命エンディングテーマ),燈華いのり,セレクトオブリージュ ボーカルアルバム,,Pop,239,/mnt/d/yu28s/Music/Compilations/セレクトオブリージュ ボーカルアルバム/02 Genuine world (PCゲーム まどそふと「セレクトオブ.m4a,D:\yu28s\Music\Compilations\セレクトオブリージュ ボーカルアルバム\02 Genuine world (PCゲーム まどそふと「セレクトオブ.m4a,.m4a,8067000
1,0,include,tagged vocal/music candidate,I will… キミがいるから (PCゲーム まどそふと「セレクトオブリージュ」蓼科イヴエンディングテーマ),ななひら,セレクトオブリージュ ボーカルアルバム,,Pop,222,/mnt/d/yu28s/Music/Compilations/セレクトオブリージュ ボーカルアルバム/03 I will… キミがいるから (PCゲーム まどそふと「セレクト.m4a,D:\yu28s\Music\Compilations\セレクトオブリージュ ボーカルアルバム\03 I will… キミがいるから (PCゲーム まどそふと「セレクト.m4a,.m4a,7542783
1,0,include,tagged vocal/music candidate,Warmth of the eternity (PCゲーム まどそふと「セレクトオブリージュ」夜刀くくるエンディングテーマ),塚本のべる,セレクトオブリージュ ボーカルアルバム,,Pop,309,/mnt/d/yu28s/Music/Compilations/セレクトオブリージュ ボーカルアルバム/04 Warmth of the eternity (PCゲーム まどそ.m4a,D:\yu28s\Music\Compilations\セレクトオブリージュ ボーカルアルバム\04 Warmth of the eternity (PCゲーム まどそ.m4a,.m4a,10851338
1,0,include,tagged vocal/music candidate,わたしだけのPromise (PCゲーム まどそふと「セレクトオブリージュ」トウリエンディングテーマ),Sennzai,セレクトオブリージュ ボーカルアルバム,,Pop,231,/mnt/d/yu28s/Music/Compilations/セレクトオブリージュ ボーカルアルバム/05 わたしだけのPromise (PCゲーム まどそふと「セレクトオブ.m4a,D:\yu28s\Music\Compilations\セレクトオブリージュ ボーカルアルバム\05 わたしだけのPromise (PCゲーム まどそふと「セレクトオブ.m4a,.m4a,7671781
0,0,exclude,title looks like BGM/instrumental,Path to glory(Instrumental),Faylan,セレクトオブリージュ ボーカルアルバム,,Pop,262,/mnt/d/yu28s/Music/Compilations/セレクトオブリージュ ボーカルアルバム/06 Path to glory(Instrumental).m4a,D:\yu28s\Music\Compilations\セレクトオブリージュ ボーカルアルバム\06 Path to glory(Instrumental).m4a,.m4a,8919624
0,0,exclude,title looks like BGM/instrumental,Genuine world(Instrumental),燈華いのり,セレクトオブリージュ ボーカルアルバム,,Pop,239,/mnt/d/yu28s/Music/Compilations/セレクトオブリージュ ボーカルアルバム/07 Genuine world(Instrumental).m4a,D:\yu28s\Music\Compilations\セレクトオブリージュ ボーカルアルバム\07 Genuine world(Instrumental).m4a,.m4a,8413966
0,0,exclude,title looks like BGM/instrumental,I will… キミがいるから(Instrumental),ななひら,セレクトオブリージュ ボーカルアルバム,,Pop,223,/mnt/d/yu28s/Music/Compilations/セレクトオブリージュ ボーカルアルバム/08 I will… キミがいるから(Instrumental).m4a,D:\yu28s\Music\Compilations\セレクトオブリージュ ボーカルアルバム\08 I will… キミがいるから(Instrumental).m4a,.m4a,7502472
0,0,exclude,title looks like BGM/instrumental,Warmth of the eternity(Instrumental),塚本のべる,セレクトオブリージュ ボーカルアルバム,,Pop,309,/mnt/d/yu28s/Music/Compilations/セレクトオブリージュ ボーカルアルバム/09 Warmth of the eternity(Instrument.m4a,D:\yu28s\Music\Compilations\セレクトオブリージュ ボーカルアルバム\09 Warmth of the eternity(Instrument.m4a,.m4a,11391727
