registered,registration_target,decision,reason,title,primary_artist,album,album_artist,genre,duration_sec,file_path_linux,file_path_windows,file_ext,file_size_bytes
0,1,include,tagged vocal/music candidate,櫻ト向日葵 - inst ver -,松本文紀,サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD,,Pop,252,/mnt/d/yu28s/Music/music_centor/Compilations/サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD/08 櫻ト向日葵 - inst ver -.m4a,D:\yu28s\Music\music_centor\Compilations\サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD\08 櫻ト向日葵 - inst ver -.m4a,.m4a,3918860
0,1,include,tagged vocal/music candidate,幾望―既望―希望 - inst ver -,viewtorino,サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD,,Pop,277,/mnt/d/yu28s/Music/music_centor/Compilations/サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD/09 幾望―既望―希望 - inst ver -.m4a,D:\yu28s\Music\music_centor\Compilations\サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD\09 幾望―既望―希望 - inst ver -.m4a,.m4a,4434766
0,1,include,tagged vocal/music candidate,虚無の先で愛を見つける - inst ver -,viewtorino,サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD,,Pop,268,/mnt/d/yu28s/Music/music_centor/Compilations/サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD/10 虚無の先で愛を見つける - inst ver -.m4a,D:\yu28s\Music\music_centor\Compilations\サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD\10 虚無の先で愛を見つける - inst ver -.m4a,.m4a,4193587
0,1,include,tagged vocal/music candidate,Mon Panache ! - inst ver -,松本文紀,サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD,,Pop,260,/mnt/d/yu28s/Music/music_centor/Compilations/サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD/11 Mon Panache ! - inst ver -.m4a,D:\yu28s\Music\music_centor\Compilations\サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD\11 Mon Panache ! - inst ver -.m4a,.m4a,4079969
0,1,include,tagged vocal/music candidate,櫻ノ詩 - 2023Mix inst ver -,松本文紀,サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD,,Pop,243,/mnt/d/yu28s/Music/music_centor/Compilations/サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD/12 櫻ノ詩 - 2023Mix inst ver -.m4a,D:\yu28s\Music\music_centor\Compilations\サクラノ刻 -櫻の森の下を歩む- ヴォーカルCD\12 櫻ノ詩 - 2023Mix inst ver -.m4a,.m4a,3889333
0,1,include,tagged vocal/music candidate,櫻ノ詩 - Piano inst ver -,松本文紀 (Metrowing),サクラノ詩 -櫻の森の上を舞う- ヴォーカルCD,,Soundtrack,240,/mnt/d/yu28s/Music/music_centor/Compilations/サクラノ詩 -櫻の森の上を舞う- ヴォーカルCD/15 櫻ノ詩 - Piano inst ver -.mp3,D:\yu28s\Music\music_centor\Compilations\サクラノ詩 -櫻の森の上を舞う- ヴォーカルCD\15 櫻ノ詩 - Piano inst ver -.mp3,.mp3,3836018
0,1,include,tagged vocal/music candidate,ボクの光る星(インストゥルメンタル),青石実夕,ボクの光る星,,Pop,222,/mnt/d/yu28s/Music/music_centor/Compilations/ボクの光る星/04 ボクの光る星(インストゥルメンタル).m4a,D:\yu28s\Music\music_centor\Compilations\ボクの光る星\04 ボクの光る星(インストゥルメンタル).m4a,.m4a,3616372
0,1,include,tagged vocal/music candidate,夏の夜空といとしさの色(インストゥルメンタル),青石実夕,ボクの光る星,,Pop,192,/mnt/d/yu28s/Music/music_centor/Compilations/ボクの光る星/05 夏の夜空といとしさの色(インストゥルメンタル).m4a,D:\yu28s\Music\music_centor\Compilations\ボクの光る星\05 夏の夜空といとしさの色(インストゥルメンタル).m4a,.m4a,3137261
0,1,include,tagged vocal/music candidate,今日よりずっと、明日もきっと(インストゥルメンタル),I.O.,ボクの光る星,,Pop,228,/mnt/d/yu28s/Music/music_centor/Compilations/ボクの光る星/06 今日よりずっと、明日もきっと(インストゥルメンタル).m4a,D:\yu28s\Music\music_centor\Compilations\ボクの光る星\06 今日よりずっと、明日もきっと(インストゥルメンタル).m4a,.m4a,3638222
0,1,include,tagged vocal/music candidate,君想う水辺のアリア,水月陵,金色ラブリッチェ GOLD BEST [Disc2],,Soundtrack,185,/mnt/d/yu28s/Music/music_centor/Compilations/金色ラブリッチェ GOLD BEST [Disc2]/02 君想う水辺のアリア.m4a,D:\yu28s\Music\music_centor\Compilations\金色ラブリッチェ GOLD BEST [Disc2]\02 君想う水辺のアリア.m4a,.m4a,2953194
